
 exp_p = 0.881000, time = 0.419267, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.428190, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.421456, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.450127, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.435920, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.427921, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.414272, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.435912, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.881000, time = 0.426256, life_exp = 1906.817400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 1

 exp_p = 0.879200, time = 0.441820, life_exp = 1886.182800, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.881600, time = 0.467956, life_exp = 1924.185000, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.882300, time = 0.451986, life_exp = 1906.244600, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.884700, time = 0.438485, life_exp = 1914.422200, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.881000, time = 0.435744, life_exp = 1897.546400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.882400, time = 0.435446, life_exp = 1893.285400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.880000, time = 0.470683, life_exp = 1907.346200, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.886000, time = 0.454597, life_exp = 1887.559600, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.886400, time = 0.432393, life_exp = 1903.091800, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 2

 exp_p = 0.883200, time = 0.430810, life_exp = 1885.660800, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.879300, time = 0.437254, life_exp = 1908.003000, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.879100, time = 0.448253, life_exp = 1922.760200, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.880800, time = 0.432093, life_exp = 1906.138600, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.882300, time = 0.447108, life_exp = 1886.426000, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.882100, time = 0.435609, life_exp = 1897.379800, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.884300, time = 0.451957, life_exp = 1915.020000, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.879400, time = 0.460393, life_exp = 1906.462400, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.883700, time = 0.429920, life_exp = 1889.687000, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.879000, time = 0.438227, life_exp = 1921.980600, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.875900, time = 0.450234, life_exp = 1916.344200, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.883100, time = 0.435045, life_exp = 1902.497800, a = 0, b = 100, x = 50, N = 10000, p = 0.510000, P = 4

 exp_p = 0.730660, time = 1.341728, life_exp = 578.727460, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730910, time = 1.362175, life_exp = 576.991840, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.728930, time = 1.341081, life_exp = 576.280200, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732860, time = 1.349307, life_exp = 574.857520, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730630, time = 1.320524, life_exp = 579.082820, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.733840, time = 1.299015, life_exp = 576.716280, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.729460, time = 1.379020, life_exp = 580.367360, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732350, time = 1.318125, life_exp = 577.549340, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732850, time = 1.304329, life_exp = 578.807500, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731290, time = 1.321900, life_exp = 576.711080, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731700, time = 1.328369, life_exp = 576.873080, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731620, time = 1.387460, life_exp = 579.212280, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.730740, time = 1.309794, life_exp = 576.521240, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.732150, time = 1.426004, life_exp = 577.905060, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731680, time = 1.439138, life_exp = 578.003420, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.731320, time = 1.307460, life_exp = 574.856840, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 2

 exp_p = 0.728600, time = 1.452399, life_exp = 578.316720, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730690, time = 1.309199, life_exp = 576.678320, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729710, time = 1.330780, life_exp = 579.072400, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730980, time = 1.323265, life_exp = 576.043400, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.731710, time = 1.330258, life_exp = 579.171100, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729010, time = 1.296882, life_exp = 578.016780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.732750, time = 1.312641, life_exp = 577.424520, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.733200, time = 1.331067, life_exp = 577.572100, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.731560, time = 1.317230, life_exp = 575.512480, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730010, time = 1.301944, life_exp = 580.569780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.731890, time = 1.312341, life_exp = 578.040100, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.732250, time = 1.308928, life_exp = 573.214880, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729300, time = 1.378959, life_exp = 578.035260, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729570, time = 1.334133, life_exp = 577.007920, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.731550, time = 1.326620, life_exp = 576.456740, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.728650, time = 1.353894, life_exp = 579.324520, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732820, time = 1.344704, life_exp = 575.880300, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732420, time = 1.317459, life_exp = 578.033600, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732560, time = 1.301067, life_exp = 576.962300, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.732290, time = 1.312045, life_exp = 579.044640, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

 exp_p = 0.731670, time = 1.335377, life_exp = 576.931040, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 8

